ID,Image,Mask,Mask L,Mask R
B04,c:/users/sven/Documents/BEP/simplified_data\B04\IMAGES\B04.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B04\MASKS\B04.nii.gz,,
B05,c:/users/sven/Documents/BEP/simplified_data\B05\IMAGES\B05.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B05\MASKS\B05.nii.gz,,
B07,c:/users/sven/Documents/BEP/simplified_data\B07\IMAGES\B07.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B07\MASKS\B07.nii.gz,,
B08,c:/users/sven/Documents/BEP/simplified_data\B08\IMAGES\B08.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B08\MASKS\B08.nii.gz,,
B09,c:/users/sven/Documents/BEP/simplified_data\B09\IMAGES\B09.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B09\MASKS\B09.nii.gz,,
B10,c:/users/sven/Documents/BEP/simplified_data\B10\IMAGES\B10.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B10\MASKS\B10.nii.gz,,
B11,c:/users/sven/Documents/BEP/simplified_data\B11\IMAGES\B11.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B11\MASKS\B11.nii.gz,,
B12,c:/users/sven/Documents/BEP/simplified_data\B12\IMAGES\B12.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B12\MASKS\B12.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B12\MASKS\B12_LB.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B12\MASKS\B12_RB.nii.gz
B13,c:/users/sven/Documents/BEP/simplified_data\B13\IMAGES\B13.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B13\MASKS\B13.nii.gz,,
B14,c:/users/sven/Documents/BEP/simplified_data\B14\IMAGES\B14.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B14\MASKS\B14.nii.gz,,
B16,c:/users/sven/Documents/BEP/simplified_data\B16\IMAGES\B16.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B16\MASKS\B16.nii.gz,,
B17,c:/users/sven/Documents/BEP/simplified_data\B17\IMAGES\B17.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B17\MASKS\B17.nii.gz,,
B18,c:/users/sven/Documents/BEP/simplified_data\B18\IMAGES\B18.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B18\MASKS\B18.nii.gz,,
B19,c:/users/sven/Documents/BEP/simplified_data\B19\IMAGES\B19.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B19\MASKS\B19.nii.gz,,
B20,c:/users/sven/Documents/BEP/simplified_data\B20\IMAGES\B20.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B20\MASKS\B20.nii.gz,,
B21,c:/users/sven/Documents/BEP/simplified_data\B21\IMAGES\B21.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B21\MASKS\B21.nii.gz,,
B23,c:/users/sven/Documents/BEP/simplified_data\B23\IMAGES\B23.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B23\MASKS\B23.nii.gz,,
B24,c:/users/sven/Documents/BEP/simplified_data\B24\IMAGES\B24.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B24\MASKS\B24.nii.gz,,
B25,c:/users/sven/Documents/BEP/simplified_data\B25\IMAGES\B25.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B25\MASKS\B25.nii.gz,,
B26,c:/users/sven/Documents/BEP/simplified_data\B26\IMAGES\B26.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B26\MASKS\B26.nii.gz,,
B27,c:/users/sven/Documents/BEP/simplified_data\B27\IMAGES\B27.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B27\MASKS\B27.nii.gz,,
B28,c:/users/sven/Documents/BEP/simplified_data\B28\IMAGES\B28.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B28\MASKS\B28.nii.gz,,
B29,c:/users/sven/Documents/BEP/simplified_data\B29\IMAGES\B29.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B29\MASKS\B29.nii.gz,,
B30,c:/users/sven/Documents/BEP/simplified_data\B30\IMAGES\B30.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B30\MASKS\B30.nii.gz,,
B31,c:/users/sven/Documents/BEP/simplified_data\B31\IMAGES\B31.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B31\MASKS\B31.nii.gz,,
B32,c:/users/sven/Documents/BEP/simplified_data\B32\IMAGES\B32.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B32\MASKS\B32.nii.gz,,
B33,c:/users/sven/Documents/BEP/simplified_data\B33\IMAGES\B33.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B33\MASKS\B33.nii.gz,,
B34,c:/users/sven/Documents/BEP/simplified_data\B34\IMAGES\B34.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B34\MASKS\B34.nii.gz,,
B35,c:/users/sven/Documents/BEP/simplified_data\B35\IMAGES\B35.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B35\MASKS\B35.nii.gz,,
B37,c:/users/sven/Documents/BEP/simplified_data\B37\IMAGES\B37.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B37\MASKS\B37.nii.gz,,
B38,c:/users/sven/Documents/BEP/simplified_data\B38\IMAGES\B38.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B38\MASKS\B38.nii.gz,,
B39,c:/users/sven/Documents/BEP/simplified_data\B39\IMAGES\B39.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B39\MASKS\B39.nii.gz,,
B40,c:/users/sven/Documents/BEP/simplified_data\B40\IMAGES\B40.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B40\MASKS\B40.nii.gz,,
B41,c:/users/sven/Documents/BEP/simplified_data\B41\IMAGES\B41.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B41\MASKS\B41.nii.gz,,
B43,c:/users/sven/Documents/BEP/simplified_data\B43\IMAGES\B43.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B43\MASKS\B43.nii.gz,,
B44,c:/users/sven/Documents/BEP/simplified_data\B44\IMAGES\B44.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B44\MASKS\B44.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B44\MASKS\B44_LB.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B44\MASKS\B44_RB.nii.gz
B45,c:/users/sven/Documents/BEP/simplified_data\B45\IMAGES\B45.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B45\MASKS\B45.nii.gz,,
B46,c:/users/sven/Documents/BEP/simplified_data\B46\IMAGES\B46.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B46\MASKS\B46.nii.gz,,
B48,c:/users/sven/Documents/BEP/simplified_data\B48\IMAGES\B48.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B48\MASKS\B48.nii.gz,,
B49,c:/users/sven/Documents/BEP/simplified_data\B49\IMAGES\B49.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B49\MASKS\B49.nii.gz,,
B50,c:/users/sven/Documents/BEP/simplified_data\B50\IMAGES\B50.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B50\MASKS\B50.nii.gz,,
B51,c:/users/sven/Documents/BEP/simplified_data\B51\IMAGES\B51.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B51\MASKS\B51.nii.gz,,
B52,c:/users/sven/Documents/BEP/simplified_data\B52\IMAGES\B52.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B52\MASKS\B52.nii.gz,,
B53,c:/users/sven/Documents/BEP/simplified_data\B53\IMAGES\B53.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B53\MASKS\B53.nii.gz,,
B54,c:/users/sven/Documents/BEP/simplified_data\B54\IMAGES\B54.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B54\MASKS\B54.nii.gz,,
B55,c:/users/sven/Documents/BEP/simplified_data\B55\IMAGES\B55.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B55\MASKS\B55.nii.gz,,
B56,c:/users/sven/Documents/BEP/simplified_data\B56\IMAGES\B56.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B56\MASKS\B56.nii.gz,,
B58,c:/users/sven/Documents/BEP/simplified_data\B58\IMAGES\B58.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B58\MASKS\B58.nii.gz,,
B61,c:/users/sven/Documents/BEP/simplified_data\B61\IMAGES\B61.nii.gz,c:/users/sven/Documents/BEP/simplified_data\B61\MASKS\B61.nii.gz,,
M01,c:/users/sven/Documents/BEP/simplified_data\M01\IMAGES\M01.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M01\MASKS\M01.nii.gz,,
M02,c:/users/sven/Documents/BEP/simplified_data\M02\IMAGES\M02.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M02\MASKS\M02.nii.gz,,
