x1,Label
-13.964861,B
-9.698912,B
-9.817087,B
-9.306056,B
-9.633513,B
-6.4639115,B
-7.7097673,B
-10.723509,B
-7.749597,B
-7.2346487,B
-9.82106,B
-10.392041,B
-4.9939213,B
-3.8662722,B
-3.927353,B
-9.359897,B
-11.512753,B
-11.184382,B
-4.712243,B
-7.6669827,B
-9.228286,B
-13.345972,B
-4.3627796,B
-4.8986006,B
-9.84335,B
-8.653206,B
-3.9717913,B
-4.6020894,B
-6.156809,B
-6.8558917,B
-8.378422,B
-9.741549,B
-4.0493474,B
-6.131063,B
-13.583314,B
-9.810002,B
-7.161491,B
-11.841201,B
-9.493601,B
-7.710056,B
-9.144139,B
-11.9967165,B
-9.609074,B
-11.27643,B
-8.928199,B
-9.642342,B
-9.407215,B
-4.877931,B
-7.4409885,M
-9.155275,M
-9.580423,M
-5.1044493,M
-4.959316,M
-2.8854778,M
-11.829859,M
-8.490285,M
-7.7835345,M
-13.323556,M
-8.925916,M
-7.815122,M
-8.372433,M
-7.748122,M
-7.683035,M
-9.207584,M
-7.6964345,M
-3.9824927,M
-9.3728485,M
-6.863398,M
-11.1383295,M
-14.051977,M
-4.8453155,M
-3.9960246,M
-3.0832002,M
-5.0379596,M
-11.361711,M
-8.060175,M
-6.4031696,M
-9.687006,M
-9.371587,M
-4.8878694,M
-4.486583,M
-9.697487,M
-12.645667,M
-6.454813,M
-5.9985576,M
-9.070512,M
-6.2745514,M
-8.605851,M
-11.310503,M
-8.287511,M
-6.5483375,M
-13.044814,M
-8.885423,M
-11.038877,M
