layout,ResNet50,EfficientNet b4,gluon_resnet152_v1s,convnext_nano,convnext_Large,resnetv2_101,efficientnetv2_rw_m,,
"[1, 1, 1]",6.10E-01,5.46E-01,5.58E-01,5.33E-01,5.78E-01,6.59E-01,5.39E-01,,
"[1, 1, 2]",5.62E-01,5.16E-01,5.85E-01,5.30E-01,5.27E-01,6.13E-01,5.48E-01,,
"[1, 1, 3]",4.96E-01,5.12E-01,6.33E-01,4.83E-01,5.68E-01,5.50E-01,5.38E-01,,
"[1, 1, 4]",5.54E-01,4.86E-01,6.60E-01,6.26E-01,5.78E-01,5.57E-01,6.15E-01,,
"[1, 2, 1]",5.58E-01,5.57E-01,5.58E-01,5.74E-01,5.45E-01,6.32E-01,5.33E-01,,
"[1, 2, 2]",5.96E-01,5.27E-01,5.54E-01,5.57E-01,6.17E-01,5.85E-01,6.07E-01,,
"[1, 2, 3]",5.39E-01,5.87E-01,5.68E-01,6.37E-01,5.84E-01,6.50E-01,5.31E-01,,
"[1, 2, 4]",5.23E-01,6.38E-01,5.98E-01,5.47E-01,5.58E-01,5.52E-01,5.93E-01,,
"[1, 3, 1]",5.56E-01,5.70E-01,6.20E-01,5.07E-01,5.84E-01,6.22E-01,5.56E-01,,
"[1, 3, 2]",6.09E-01,5.72E-01,5.36E-01,5.65E-01,5.78E-01,6.23E-01,5.85E-01,,
"[1, 3, 3]",5.94E-01,5.36E-01,7.02E-01,6.19E-01,5.90E-01,6.06E-01,5.59E-01,,
"[1, 3, 4]",5.40E-01,5.41E-01,5.65E-01,5.95E-01,5.57E-01,5.45E-01,5.75E-01,,
"[1, 4, 1]",5.89E-01,6.16E-01,6.42E-01,5.72E-01,6.12E-01,5.15E-01,5.74E-01,,
"[1, 4, 2]",5.49E-01,5.54E-01,6.50E-01,5.61E-01,5.85E-01,5.62E-01,6.23E-01,,
"[1, 4, 3]",5.86E-01,5.37E-01,5.82E-01,6.08E-01,5.04E-01,5.83E-01,5.33E-01,,
"[1, 4, 4]",5.65E-01,5.89E-01,6.19E-01,5.59E-01,5.29E-01,5.30E-01,6.09E-01,,
"[2, 1, 1]",5.67E-01,5.47E-01,5.81E-01,5.62E-01,5.61E-01,6.01E-01,5.48E-01,,
"[2, 1, 2]",5.67E-01,5.50E-01,6.12E-01,5.74E-01,5.57E-01,6.55E-01,5.68E-01,,
"[2, 1, 3]",5.61E-01,5.86E-01,5.72E-01,5.64E-01,5.84E-01,6.23E-01,5.39E-01,,
"[2, 1, 4]",5.15E-01,5.57E-01,5.77E-01,5.51E-01,6.16E-01,5.99E-01,5.51E-01,,
"[2, 2, 1]",5.59E-01,5.75E-01,5.72E-01,5.18E-01,5.30E-01,6.31E-01,5.22E-01,,
"[2, 2, 2]",5.67E-01,5.91E-01,5.24E-01,6.38E-01,5.87E-01,5.45E-01,6.44E-01,,
"[2, 2, 3]",5.83E-01,5.27E-01,6.40E-01,4.77E-01,4.82E-01,5.82E-01,5.64E-01,,
"[2, 2, 4]",6.88E-01,5.64E-01,5.82E-01,6.33E-01,5.54E-01,5.34E-01,5.78E-01,,
"[2, 3, 1]",5.25E-01,5.96E-01,5.65E-01,4.93E-01,5.18E-01,6.69E-01,5.81E-01,,
