layout,ResNet50
"[1, 1, 1]",6.10E-01
"[1, 1, 2]",5.62E-01
"[1, 1, 3]",4.96E-01
"[1, 1, 4]",5.54E-01
"[1, 2, 1]",5.58E-01
"[1, 2, 2]",5.96E-01
"[1, 2, 3]",5.39E-01
"[1, 2, 4]",5.23E-01
"[1, 3, 1]",5.56E-01
"[1, 3, 2]",6.09E-01
"[1, 3, 3]",5.94E-01
"[1, 3, 4]",5.40E-01
"[1, 4, 1]",5.89E-01
"[1, 4, 2]",5.49E-01
"[1, 4, 3]",5.86E-01
"[1, 4, 4]",5.65E-01
"[2, 1, 1]",5.67E-01
"[2, 1, 2]",5.67E-01
"[2, 1, 3]",5.61E-01
"[2, 1, 4]",5.15E-01
"[2, 2, 1]",5.59E-01
"[2, 2, 2]",5.67E-01
"[2, 2, 3]",5.83E-01
"[2, 2, 4]",6.88E-01
"[2, 3, 1]",5.25E-01
"[2, 3, 2]",5.97E-01
"[2, 3, 3]",5.95E-01
"[2, 3, 4]",4.33E-01
"[2, 4, 1]",5.62E-01
"[2, 4, 2]",3.73E-01
"[2, 4, 3]",4.91E-01
"[2, 4, 4]",5.61E-01
"[3, 1, 1]",5.57E-01
"[3, 1, 2]",5.07E-01
"[3, 1, 3]",5.65E-01
"[3, 1, 4]",5.49E-01
"[3, 2, 1]",5.51E-01
"[3, 2, 2]",4.84E-01
"[3, 2, 3]",6.12E-01
"[3, 2, 4]",5.77E-01
"[3, 3, 1]",5.54E-01
"[3, 3, 2]",5.89E-01
"[3, 3, 3]",5.53E-01
"[3, 3, 4]",6.00E-01
"[3, 4, 1]",5.82E-01
"[3, 4, 2]",6.35E-01
"[3, 4, 3]",6.28E-01
"[3, 4, 4]",5.34E-01
"[4, 1, 1]",5.58E-01
"[4, 1, 2]",5.53E-01
"[4, 1, 3]",5.63E-01
"[4, 1, 4]",5.11E-01
"[4, 2, 1]",5.27E-01
"[4, 2, 2]",5.88E-01
"[4, 2, 3]",5.89E-01
"[4, 2, 4]",4.44E-01
"[4, 3, 1]",5.67E-01
"[4, 3, 2]",5.86E-01
"[4, 3, 3]",5.59E-01
"[4, 3, 4]",6.34E-01
"[4, 4, 1]",6.27E-01
"[4, 4, 2]",5.25E-01
"[4, 4, 3]",6.32E-01
"[4, 4, 4]",6.65E-01
